exercise,category,equipment,preferred_view,avatar_style,media_type,media_status
Sentadillas,Piernas,Sin equipo,frontal+lateral,camiseta,mp4-loop,Pendiente de producir
Flexiones,Pecho,Sin equipo,lateral,sin camisa,mp4-loop,Pendiente de producir
Plancha frontal,Core,Sin equipo,lateral,sin camisa,mp4-loop,Pendiente de producir
Mountain climbers,Cardio,Sin equipo,lateral,camiseta,mp4-loop,Pendiente de producir
Press de pecho,Pecho,Mancuernas,lateral,sin camisa,mp4-loop,Pendiente de producir
Peso muerto rumano,Piernas,Mancuernas,lateral,camiseta,mp4-loop,Pendiente de producir
Curl de bíceps,Brazos,Mancuernas,frontal,sin camisa,mp4-loop,Pendiente de producir
Press militar,Hombros,Mancuernas,frontal+lateral,sin camisa,mp4-loop,Pendiente de producir
Remo,Espalda,Mancuernas,lateral,sin camisa,mp4-loop,Pendiente de producir
Sentadilla con banda,Piernas,Bandas,frontal+lateral,camiseta,mp4-loop,Pendiente de producir
Remo de pie con banda,Espalda,Bandas,lateral,sin camisa,mp4-loop,Pendiente de producir
Press de pecho con banda,Pecho,Bandas,lateral,sin camisa,mp4-loop,Pendiente de producir
Press de hombros con banda,Hombros,Bandas,frontal,sin camisa,mp4-loop,Pendiente de producir
Curl de bíceps con banda,Bíceps,Bandas,frontal,sin camisa,mp4-loop,Pendiente de producir
Extensión de tríceps con banda,Tríceps,Bandas,lateral,sin camisa,mp4-loop,Pendiente de producir
Caminata lateral con banda,Glúteos,Bandas,frontal,camiseta,mp4-loop,Pendiente de producir
Apertura de pecho con banda,Pecho,Bandas,frontal,sin camisa,mp4-loop,Pendiente de producir
Flexión con banda,Pecho,Bandas,lateral,sin camisa,mp4-loop,Pendiente de producir
Elevación lateral con banda,Hombros,Bandas,frontal,sin camisa,mp4-loop,Pendiente de producir
Pull apart,Espalda alta,Bandas,posterior+frontal,sin camisa,mp4-loop,Pendiente de producir
Curl martillo con banda,Bíceps,Bandas,frontal,sin camisa,mp4-loop,Pendiente de producir
Curl unilateral con banda,Bíceps,Bandas,frontal,sin camisa,mp4-loop,Pendiente de producir
Extensión de tríceps sobre cabeza,Tríceps,Bandas,lateral,sin camisa,mp4-loop,Pendiente de producir
Pressdown con banda,Tríceps,Bandas,lateral,sin camisa,mp4-loop,Pendiente de producir
Patada de tríceps con banda,Tríceps,Bandas,lateral,sin camisa,mp4-loop,Pendiente de producir
Monster walk,Glúteos,Bandas,frontal,camiseta,mp4-loop,Pendiente de producir
Puente de glúteos con banda,Glúteos,Bandas,lateral,camiseta,mp4-loop,Pendiente de producir
Abducción de cadera,Glúteos,Bandas,frontal,camiseta,mp4-loop,Pendiente de producir
Patada posterior con banda,Glúteos,Bandas,lateral,camiseta,mp4-loop,Pendiente de producir
Peso muerto con banda,Piernas,Bandas,lateral,camiseta,mp4-loop,Pendiente de producir
Rotación externa,Manguito rotador,Bandas,frontal,camiseta,mp4-loop,Pendiente de producir
Remo sentado con banda,Espalda,Bandas,lateral+posterior,sin camisa,mp4-loop,Pendiente de producir
Jalón al pecho con banda,Dorsales,Bandas,frontal+posterior,sin camisa,mp4-loop,Pendiente de producir
Remo unilateral con banda,Espalda,Bandas,lateral,sin camisa,mp4-loop,Pendiente de producir
Face pull con banda,Espalda alta,Bandas,lateral+frontal,camiseta,mp4-loop,Pendiente de producir
Buenos días con banda,Cadena posterior,Bandas,lateral,camiseta,mp4-loop,Pendiente de producir
Pallof press,Core,Bandas,frontal,sin camisa,mp4-loop,Pendiente de producir
Wood chop con banda,Oblicuos,Bandas,frontal+lateral,sin camisa,mp4-loop,Pendiente de producir
Crunch con banda,Abdomen,Bandas,lateral,sin camisa,mp4-loop,Pendiente de producir
Dead bug con banda,Core,Bandas,lateral,sin camisa,mp4-loop,Pendiente de producir
Plancha con remo de banda,Core,Bandas,frontal+lateral,sin camisa,mp4-loop,Pendiente de producir
Sentadilla con press de banda,Cuerpo completo,Bandas,frontal+lateral,camiseta,mp4-loop,Pendiente de producir
Peso muerto con remo de banda,Cadena posterior,Bandas,lateral+posterior,camiseta,mp4-loop,Pendiente de producir
Zancada con curl de banda,Piernas y bíceps,Bandas,frontal+lateral,camiseta,mp4-loop,Pendiente de producir
Thruster con banda,Cuerpo completo,Bandas,frontal+lateral,camiseta,mp4-loop,Pendiente de producir
Mountain climber con banda,Core,Bandas,lateral,camiseta,mp4-loop,Pendiente de producir
Aperturas con mancuernas,Pecho,Mancuernas,lateral,sin camisa,mp4-loop,Pendiente de producir
Pullover con mancuerna,Pecho y dorsales,Mancuernas,lateral,sin camisa,mp4-loop,Pendiente de producir
Remo con mancuernas,Espalda,Mancuernas,lateral+posterior,sin camisa,mp4-loop,Pendiente de producir
Pájaros con mancuernas,Espalda alta,Mancuernas,lateral+posterior,sin camisa,mp4-loop,Pendiente de producir
Superman,Espalda baja,Sin equipo,lateral,camiseta,mp4-loop,Pendiente de producir
Elevación frontal con banda,Hombros,Bandas,frontal,sin camisa,mp4-loop,Pendiente de producir
Elevación de talones,Pantorrillas,Sin equipo,lateral,camiseta,mp4-loop,Pendiente de producir
Elevación unilateral,Pantorrillas,Sin equipo,lateral,camiseta,mp4-loop,Pendiente de producir
Puntas hacia adentro,Pantorrillas,Sin equipo,frontal+posterior,camiseta,mp4-loop,Pendiente de producir
Puntas hacia afuera,Pantorrillas,Sin equipo,frontal+posterior,camiseta,mp4-loop,Pendiente de producir
Movilidad de tobillo,Tobillos,Sin equipo,lateral,camiseta,mp4-loop,Pendiente de producir
